Type,X,Y,OBJECTID,Call_Taken,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg,STREET_TYPE,distance,duration,,,,,,,,
TAG,-93.272634,44.943205,1478,2019-02-13T00:00:00.000Z,300 33RD ST E,44.943205,-93.272634,9,Powderhorn,Central,5,2,Westminster,RES,5639.5,546.0,,,,,,,,
TAG,-93.215816,44.985706,1479,2019-02-13T00:00:00.000Z,854 WEEKS AVE SE,44.985706,-93.215816,2,University,Como,4,2,Westminster,RES,7221.6,777.1,,,,,,,,
TAG,-93.295575,44.946328,1480,2019-02-13T00:00:00.000Z,3102 FREMONT AVE S,44.946328,-93.295575,10,Calhoun Isle,CARAG,5,2,Westminster,RES,5246.3,518.0,,,,,,,,
TAG,-93.271628,44.937551,1481,2019-02-13T00:00:00.000Z,3608 CLINTON AVE S,44.937551,-93.271628,8,Powderhorn,Central,5,2,Westminster,RES,6352.9,606.3,,,,,,,,
TAG,-93.271554,44.949406,1482,2019-02-13T00:00:00.000Z,2918 CLINTON AVE S,44.949406,-93.271554,6,Phillips,Phillips West,3,2,Westminster,RES,5265.4,525.6,,,,,,,,
TAG,-93.290954,44.988244,1483,2019-02-13T00:00:00.000Z,1000 ALDRICH AVE N,44.988244,-93.290954,5,Near North,Sumner - Glenwood,1,2,Westminster,RES,1541.0,230.2,,,,,,,,
TAG,-93.271619,44.937324,1484,2019-02-13T00:00:00.000Z,3618 CLINTON AVE S,44.937324,-93.271619,8,Powderhorn,Central,5,2,Westminster,RES,6378.2,612.4,,,,,,,,
TAG,-93.294323,44.96351,1485,2019-02-13T00:00:00.000Z,1940 EMERSON AVE S,44.96351,-93.294323,7,Calhoun Isle,Lowry Hill,3,2,Westminster,RES,2771.0,296.6,,,,,,,,
TAG,-93.296039,44.942871,1486,2019-02-13T00:00:00.000Z,1302 33RD ST W,44.942871,-93.296039,10,Calhoun Isle,CARAG,5,2,Westminster,RES,5293.0,518.0,,,,,,,,
TAG,-93.293502,45.042115,1487,2019-02-13T00:00:00.000Z,1018 48TH AVE N,45.042115,-93.293502,4,Camden,Lind - Bohanon,1,2,Westminster,RES,9056.2,625.5,,,,,,,,
TAG,-93.247146,44.987039,1488,2019-02-13T00:00:00.000Z,520 5TH AVE SE,44.987039,-93.247146,3,University,Marcy Holmes,4,2,Westminster,RES,4592.3,537.2,,,,,,,,
TAG,-93.233345,44.988893,1489,2019-02-13T00:00:00.000Z,1036 13TH AVE SE,44.988893,-93.233345,2,University,Como,4,2,Westminster,RES,5752.2,634.8,,,,,,,,
TAG,-93.24605,44.944371,1490,2019-02-13T00:00:00.000Z,3210 LONGFELLOW AVE S,44.944371,-93.24605,9,Powderhorn,Corcoran,6,2,Westminster,RES,7703.1,666.2,,,,,,,,
TAG,-93.296861,45.021618,1491,2019-02-13T00:00:00.000Z,3642 GIRARD AVE N,45.021618,-93.296861,4,Camden,Folwell,1,2,Westminster,RES,5414.8,547.2,,,,,,,,
TAG,-93.253436,44.946231,1492,2019-02-13T00:00:00.000Z,3108 15TH AVE S,44.946231,-93.253436,9,Powderhorn,Powderhorn Park,6,2,Westminster,MSA,6829.6,658.9,,,,,,,,
TAG,-93.308846,45.01242,1493,2019-02-13T00:00:00.000Z,3406 QUEEN AVE N,45.01242,-93.308846,5,Near North,Jordan,1,2,Westminster,CSAH,5273.4,516.9,,,,,,,,
TAG,-93.294386,44.96291,1494,2019-02-13T00:00:00.000Z,1950 EMERSON AVE S,44.96291,-93.294386,7,Calhoun Isle,Lowry Hill,3,2,Westminster,RES,2837.7,304.6,,,,,,,,
TAG,-93.264668,45.010334,1495,2019-02-13T00:00:00.000Z,2206 3RD ST NE,45.010334,-93.264668,3,Northeast,Bottineau,2,2,Westminster,RES,5555.8,543.7,,,,,,,,
TAG,-93.31584,44.99789,1496,2019-02-13T00:00:00.000Z,1810 VINCENT AVE N,44.99789,-93.31584,5,Near North,Willard - Hay,1,2,Westminster,RES,4373.2,427.8,,,,,,,,
TAG,-93.274082,44.954192,1497,2019-02-13T00:00:00.000Z,2636 2ND AVE S,44.954192,-93.274082,10,Powderhorn,Whittier,3,2,Westminster,RES,4514.7,466.2,,,,,,,,
TAG,-93.260115,44.908349,1498,2019-02-13T00:00:00.000Z,5214 10TH AVE S,44.908349,-93.260115,11,Nokomis,Hale,6,2,Westminster,RES,10451.7,973.5,,,,,,,,
TAG,-93.27164,44.964094,1499,2019-02-13T00:00:00.000Z,328 19TH ST E,44.964094,-93.27164,6,Central,Steven's Square - Loring Heights,3,2,Westminster,RES,3441.6,398.4,,,,,,,,
TAG,-93.273656,44.943213,1500,2019-02-13T00:00:00.000Z,208 33RD ST E,44.943213,-93.273656,9,Powderhorn,Central,5,2,Westminster,RES,5691.9,555.4,,,,,,,,
TAG,-93.308846,45.01242,1501,2019-02-13T00:00:00.000Z,3420 QUEEN AVE N,45.01242,-93.308846,5,Near North,Jordan,1,2,Westminster,CSAH,5273.4,516.9,,,,,,,,
TAG,-93.288798,44.896332,1502,2019-02-13T00:00:00.000Z,628 59TH ST W,44.896332,-93.288798,11,Southwest,Windom,5,2,Westminster,RES,11413.2,1023.4,,,,,,,,
TAG,-93.272871,44.949641,1503,2019-02-13T00:00:00.000Z,2910 3RD AVE S,44.949641,-93.272871,6,Phillips,Phillips West,3,2,Westminster,RES,5190.6,529.4,,,,,,,,
TAG,-93.246533,44.988017,1504,2019-02-13T00:00:00.000Z,712 5TH AVE SE,44.988017,-93.246533,3,University,Marcy Holmes,4,2,Westminster,RES,4747.7,544.3,,,,,,,,
TAG,-93.273884,44.943193,1505,2019-02-13T00:00:00.000Z,200 33RD ST E,44.943193,-93.273884,9,Powderhorn,Central,5,2,Westminster,RES,5709.8,558.6,,,,,,,,
TAG,-93.286407,45.012513,1506,2019-02-13T00:00:00.000Z,3114 6TH ST N,45.012513,-93.286407,5,Near North,Hawthorne,1,2,Westminster,RES,4606.1,456.7,,,,,,,,
TAG,-93.294367,44.962464,1507,2019-02-13T00:00:00.000Z,2012 EMERSON AVE S,44.962464,-93.294367,7,Calhoun Isle,Lowry Hill,3,2,Westminster,RES,2887.2,310.5,,,,,,,,
TAG,-93.271556,44.93639,1508,2019-02-13T00:00:00.000Z,3640 CLINTON AVE S,44.93639,-93.271556,8,Powderhorn,Central,5,2,Westminster,RES,6482.1,637.3,,,,,,,,
TAG,-93.274103,44.954295,1509,2019-02-13T00:00:00.000Z,2630 2ND AVE S,44.954295,-93.274103,10,Powderhorn,Whittier,3,2,Westminster,RES,4503.3,464.2,,,,,,,,
TAG,-93.295421,45.042127,1510,2019-02-13T00:00:00.000Z,1200 48TH AVE N,45.042127,-93.295421,4,Camden,Lind - Bohanon,1,2,Westminster,RES,9207.8,634.6,,,,,,,,
TAG,-93.291167,44.988162,1511,2019-02-13T00:00:00.000Z,1028 ALDRICH AVE N,44.988162,-93.291167,5,Near North,Sumner - Glenwood,1,2,Westminster,RES,1521.0,226.6,,,,,,,,
TAG,-93.246125,44.94472,1512,2019-02-13T00:00:00.000Z,3200 LONGFELLOW AVE S,44.94472,-93.246125,9,Powderhorn,Corcoran,6,2,Westminster,RES,7664.3,663.1,,,,,,,,
TAG,-93.29685,45.021827,1513,2019-02-13T00:00:00.000Z,3650 GIRARD AVE N,45.021827,-93.29685,4,Camden,Folwell,1,2,Westminster,RES,5438.1,549.0,,,,,,,,
TAG,-93.233317,44.989099,1514,2019-02-13T00:00:00.000Z,1042 13TH AVE SE,44.989099,-93.233317,2,University,Como,4,2,Westminster,RES,5775.1,636.6,,,,,,,,
TAG,-93.29056,44.942957,1515,2019-02-13T00:00:00.000Z,816 33RD ST W,44.942957,-93.29056,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4884.3,473.3,,,,,,,,
TAG,-93.271663,44.936338,1516,2019-02-13T00:00:00.000Z,3642 CLINTON AVE S,44.936338,-93.271663,8,Powderhorn,Central,5,2,Westminster,RES,6487.8,638.7,,,,,,,,
TAG,-93.308846,45.01242,1517,2019-02-13T00:00:00.000Z,3500 QUEEN AVE N,45.01242,-93.308846,5,Near North,Jordan,1,2,Westminster,CSAH,5273.4,516.9,,,,,,,,
TAG,-93.232195,44.934565,1518,2019-02-13T00:00:00.000Z,3734 28TH AVE S,44.934565,-93.232195,12,Powderhorn,Standish,6,2,Westminster,MSA,9208.1,753.5,,,,,,,,
TAG,-93.246533,44.988017,1519,2019-02-13T00:00:00.000Z,714 5TH AVE SE,44.988017,-93.246533,3,University,Marcy Holmes,4,2,Westminster,RES,4747.7,544.3,,,,,,,,
TAG,-93.25346,44.946235,1520,2019-02-13T00:00:00.000Z,3108 15TH AVE S,44.946235,-93.25346,9,Powderhorn,Powderhorn Park,6,2,Westminster,RES,6829.2,658.9,,,,,,,,
TAG,-93.260139,44.90934,1521,2019-02-13T00:00:00.000Z,5148 10TH AVE S,44.90934,-93.260139,11,Nokomis,Hale,6,2,Westminster,RES,10338.8,966.0,,,,,,,,
TAG,-93.294513,44.96226,1522,2019-02-13T00:00:00.000Z,2104 EMERSON AVE S,44.96226,-93.294513,7,Calhoun Isle,Lowry Hill,3,2,Westminster,RES,2910.0,313.3,,,,,,,,
TAG,-93.289721,44.943,1523,2019-02-13T00:00:00.000Z,806 33RD ST W,44.943,-93.289721,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4794.3,466.1,,,,,,,,
TAG,-93.272027,44.963961,1524,2019-02-13T00:00:00.000Z,316 19TH ST E,44.963961,-93.272027,6,Central,Steven's Square - Loring Heights,3,2,Westminster,RES,3414.1,391.9,,,,,,,,
TAG,-93.233345,44.989272,1525,2019-02-13T00:00:00.000Z,1044 13TH AVE SE,44.989272,-93.233345,2,University,Como,4,2,Westminster,RES,5714.2,635.7,,,,,,,,
TAG,-93.289566,44.942995,1526,2019-02-13T00:00:00.000Z,806 33RD ST W,44.942995,-93.289566,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4782.1,463.9,,,,,,,,
TAG,-93.274064,44.955046,1527,2019-02-13T00:00:00.000Z,2612 2ND AVE S,44.955046,-93.274064,10,Powderhorn,Whittier,3,2,Westminster,RES,4419.8,449.1,,,,,,,,
TAG,-93.255946,44.996892,1528,2019-02-13T00:00:00.000Z,646 SUMMER ST NE,44.996892,-93.255946,3,Northeast,St. Anthony East,2,2,Westminster,RES,4966.1,507.2,,,,,,,,
TAG,-93.245131,44.989408,1529,2019-02-13T00:00:00.000Z,804 5TH AVE SE,44.989408,-93.245131,3,University,Marcy Holmes,4,2,Westminster,RES,4563.8,511.2,,,,,,,,
TAG,-93.28098,44.968479,1530,2019-02-13T00:00:00.000Z,1408 SPRUCE PLACE,44.968479,-93.28098,7,Central,Loring Park,3,2,Westminster,RES,2421.1,261.1,,,,,,,,
TAG,-93.233315,44.989326,1531,2019-02-13T00:00:00.000Z,1050 13TH AVE SE,44.989326,-93.233315,2,University,Como,4,2,Westminster,RES,5708.2,635.2,,,,,,,,
TAG,-93.253271,44.996896,1532,2019-02-13T00:00:00.000Z,688 SUMMER ST NE,44.996896,-93.253271,3,Northeast,St. Anthony East,2,2,Westminster,RES,5175.1,526.8,,,,,,,,
TAG,-93.294635,44.960425,1533,2019-02-13T00:00:00.000Z,2208 EMERSON AVE S,44.960425,-93.294635,7,Calhoun Isle,East Isles,3,2,Westminster,RES,2914.5,326.8,,,,,,,,
TAG,-93.246137,44.946665,1534,2019-02-13T00:00:00.000Z,3044 LONGFELLOW AVE S,44.946665,-93.246137,9,Powderhorn,Corcoran,6,2,Westminster,RES,7448.0,645.8,,,,,,,,
TAG,-93.288791,44.942973,1535,2019-02-13T00:00:00.000Z,710 33RD ST W,44.942973,-93.288791,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4827.1,472.0,,,,,,,,
TAG,-93.215101,44.989712,1536,2019-02-13T00:00:00.000Z,1034 27TH AVE SE,44.989712,-93.215101,1,University,Como,4,2,Westminster,RES,7252.9,772.0,,,,,,,,
TAG,-93.290974,44.988818,1537,2019-02-13T00:00:00.000Z,1038 ALDRICH AVE N,44.988818,-93.290974,5,Near North,Sumner - Glenwood,1,2,Westminster,RES,1604.8,241.7,,,,,,,,
TAG,-93.274062,44.954779,1538,2019-02-13T00:00:00.000Z,2618 2ND AVE S,44.954779,-93.274062,10,Powderhorn,Whittier,3,2,Westminster,RES,4449.4,454.5,,,,,,,,
TAG,-93.308846,45.01242,1539,2019-02-13T00:00:00.000Z,3552 QUEEN AVE N,45.01242,-93.308846,5,Near North,Jordan,1,2,Westminster,CSAH,5273.4,516.9,,,,,,,,
TAG,-93.294607,44.960364,1540,2019-02-13T00:00:00.000Z,2216 EMERSON AVE S,44.960364,-93.294607,7,Calhoun Isle,East Isles,3,2,Westminster,RES,2921.3,327.7,,,,,,,,
TAG,-93.271482,44.933179,1541,2019-02-13T00:00:00.000Z,3828 CLINTON AVE S,44.933179,-93.271482,8,Powderhorn,Bryant,5,2,Westminster,RES,6839.9,645.9,,,,,,,,
TAG,-93.272358,44.96408,1542,2019-02-13T00:00:00.000Z,304 19TH ST E,44.96408,-93.272358,6,Central,Steven's Square - Loring Heights,3,2,Westminster,RES,3388.0,385.6,,,,,,,,
TAG,-93.253748,44.946922,1543,2019-02-13T00:00:00.000Z,3050 15TH AVE S,44.946922,-93.253748,9,Powderhorn,Powderhorn Park,6,2,Westminster,RES,6783.7,652.8,,,,,,,,
TAG,-93.288354,44.943032,1544,2019-02-13T00:00:00.000Z,700 33RD ST W,44.943032,-93.288354,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4858.3,477.7,,,,,,,,
TAG,-93.233313,44.989327,1545,2019-02-13T00:00:00.000Z,1056 13TH AVE SE,44.989327,-93.233313,2,University,Como,4,2,Westminster,RES,5708.1,635.2,,,,,,,,
TAG,-93.287189,44.943032,1546,2019-02-13T00:00:00.000Z,610 33RD ST W,44.943032,-93.287189,8,Powderhorn,Lyndale,5,2,Westminster,RES,4950.0,494.2,,,,,,,,
TAG,-93.316285,44.997286,1547,2019-02-13T00:00:00.000Z,1708 VINCENT AVE N,44.997286,-93.316285,5,Near North,Willard - Hay,1,2,Westminster,RES,4448.4,436.8,,,,,,,,
TAG,-93.28652,45.022398,1548,2019-02-13T00:00:00.000Z,3706 6TH ST N,45.022398,-93.28652,4,Camden,McKinley,1,2,Westminster,RES,6199.9,479.7,,,,,,,,
TAG,-93.280953,44.968559,1549,2019-02-13T00:00:00.000Z,1404 SPRUCE PLACE,44.968559,-93.280953,7,Central,Loring Park,3,2,Westminster,RES,2430.0,262.2,,,,,,,,
TAG,-93.244628,44.989638,1550,2019-02-13T00:00:00.000Z,816 5TH AVE SE,44.989638,-93.244628,3,University,Marcy Holmes,4,2,Westminster,RES,4636.7,524.4,,,,,,,,
TAG,-93.296856,45.02299,1551,2019-02-13T00:00:00.000Z,3726 GIRARD AVE N,45.02299,-93.296856,4,Camden,Folwell,1,2,Westminster,RES,6952.2,548.0,,,,,,,,
TAG,-93.297054,44.946383,1552,2019-02-13T00:00:00.000Z,3104 GIRARD AVE S,44.946383,-93.297054,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4543.3,475.8,,,,,,,,
TAG,-93.265074,45.015018,1553,2019-02-13T00:00:00.000Z,228 26TH AVE NE,45.015018,-93.265074,1,Northeast,Marshall Terrace,2,2,Westminster,RES,6096.6,590.0,,,,,,,,
TAG,-93.294503,44.960025,1554,2019-02-13T00:00:00.000Z,2228 EMERSON AVE S,44.960025,-93.294503,7,Calhoun Isle,East Isles,3,2,Westminster,RES,2939.1,325.0,,,,,,,,
TAG,-93.286818,44.942989,1555,2019-02-13T00:00:00.000Z,514 33RD ST W,44.942989,-93.286818,8,Powderhorn,Lyndale,5,2,Westminster,RES,4983.2,500.1,,,,,,,,
TAG,-93.233305,44.990583,1556,2019-02-13T00:00:00.000Z,1090 13TH AVE SE,44.990583,-93.233305,2,University,Como,4,2,Westminster,RES,5568.5,624.0,,,,,,,,
TAG,-93.260226,44.903116,1557,2019-02-13T00:00:00.000Z,5504 10TH AVE S,44.903116,-93.260226,11,Nokomis,Diamond Lake,6,2,Westminster,RES,11035.2,1013.4,,,,,,,,
TAG,-93.271294,44.963988,1558,2019-02-13T00:00:00.000Z,330 19TH ST E,44.963988,-93.271294,6,Central,Steven's Square - Loring Heights,3,2,Westminster,RES,3471.8,404.7,,,,,,,,
TAG,-93.252018,44.996892,1559,2019-02-13T00:00:00.000Z,706 SUMMER ST NE,44.996892,-93.252018,3,Northeast,St. Anthony East,2,2,Westminster,RES,5273.2,537.5,,,,,,,,
TAG,-93.308846,45.01242,1560,2019-02-13T00:00:00.000Z,3616 QUEEN AVE N,45.01242,-93.308846,5,Near North,Jordan,1,2,Westminster,CSAH,5273.4,516.9,,,,,,,,
TAG,-93.256194,44.933013,1561,2019-02-13T00:00:00.000Z,3832 13TH AVE S,44.933013,-93.256194,8,Powderhorn,Bancroft,6,2,Westminster,RES,8051.6,745.6,,,,,,,,
TAG,-93.28651,45.022812,1562,2019-02-13T00:00:00.000Z,3722 6TH ST N,45.022812,-93.28651,4,Camden,McKinley,1,2,Westminster,RES,6153.9,476.0,,,,,,,,
TAG,-93.287369,45.047544,1563,2019-02-13T00:00:00.000Z,428 51ST AVE N,45.047544,-93.287369,4,Camden,Lind - Bohanon,1,2,Westminster,MSA,8809.4,616.9,,,,,,,,
TAG,-93.2715,44.931452,1564,2019-02-13T00:00:00.000Z,3924 CLINTON AVE S,44.931452,-93.2715,8,Powderhorn,Bryant,5,2,Westminster,RES,7032.0,669.0,,,,,,,,
TAG,-93.266517,44.949112,1565,2019-02-13T00:00:00.000Z,2932 OAKLAND AVE S,44.949112,-93.266517,6,Phillips,Phillips West,3,2,Westminster,RES,5258.7,542.5,,,,,,,,
TAG,-93.276664,44.921985,1566,2019-02-13T00:00:00.000Z,4436 1ST AVE S,44.921985,-93.276664,8,Southwest,King Field,5,2,Westminster,RES,7689.1,731.8,,,,,,,,
TAG,-93.286524,45.022879,1567,2019-02-13T00:00:00.000Z,3724 6TH ST N,45.022879,-93.286524,4,Camden,McKinley,1,2,Westminster,RES,6146.4,475.4,,,,,,,,
TAG,-93.244997,44.943673,1568,2019-02-13T00:00:00.000Z,3228 19TH AVE S,44.943673,-93.244997,9,Powderhorn,Corcoran,6,2,Westminster,RES,7880.6,701.2,,,,,,,,
TAG,-93.274131,44.952338,1569,2019-02-13T00:00:00.000Z,2736 2ND AVE S,44.952338,-93.274131,10,Powderhorn,Whittier,3,2,Westminster,RES,4696.2,492.0,,,,,,,,
TAG,-93.303235,45.03016,1570,2019-02-13T00:00:00.000Z,3622 QUEEN AVE N,45.03016,-93.303235,4,Camden,Webber - Camden,1,2,Westminster,MSA,7774.6,697.8,,,,,,,,
TAG,-93.26533,45.015002,1571,2019-02-13T00:00:00.000Z,230 26TH AVE NE,45.015002,-93.26533,1,Northeast,Marshall Terrace,2,2,Westminster,RES,6039.7,590.1,,,,,,,,
TAG,-93.285422,44.942921,1572,2019-02-13T00:00:00.000Z,416 33RD ST W,44.942921,-93.285422,8,Powderhorn,Lyndale,5,2,Westminster,RES,4885.7,512.0,,,,,,,,
TAG,-93.256185,44.933448,1573,2019-02-13T00:00:00.000Z,3816 13TH AVE S,44.933448,-93.256185,8,Powderhorn,Bancroft,6,2,Westminster,RES,8003.2,741.7,,,,,,,,
TAG,-93.251362,44.946914,1574,2019-02-13T00:00:00.000Z,3048 16TH AVE S,44.946914,-93.251362,9,Powderhorn,Powderhorn Park,6,2,Westminster,RES,7618.0,661.4,,,,,,,,
TAG,-93.266468,44.95086,1575,2019-02-13T00:00:00.000Z,2830 OAKLAND AVE S,44.95086,-93.266468,6,Phillips,Phillips West,3,2,Westminster,RES,5064.3,521.0,,,,,,,,
TAG,-93.215211,44.991109,1576,2019-02-13T00:00:00.000Z,1104 27TH AVE SE,44.991109,-93.215211,1,University,Como,4,2,Westminster,RES,6957.8,754.7,,,,,,,,
TAG,-93.295238,44.958609,1577,2019-02-13T00:00:00.000Z,2434 FREMONT AVE S,44.958609,-93.295238,7,Calhoun Isle,East Isles,3,2,Westminster,RES,3121.3,337.8,,,,,,,,
TAG,-93.285187,44.942911,1578,2019-02-13T00:00:00.000Z,414 33RD ST W,44.942911,-93.285187,8,Powderhorn,Lyndale,5,2,Westminster,RES,5040.5,510.8,,,,,,,,
TAG,-93.266464,44.951057,1579,2019-02-13T00:00:00.000Z,2826 OAKLAND AVE S,44.951057,-93.266464,6,Phillips,Phillips West,3,2,Westminster,RES,5042.4,519.2,,,,,,,,
TAG,-93.274118,44.95249,1580,2019-02-13T00:00:00.000Z,2732 2ND AVE S,44.95249,-93.274118,10,Powderhorn,Whittier,3,2,Westminster,RES,4703.5,489.4,,,,,,,,
TAG,-93.297074,44.944444,1581,2019-02-13T00:00:00.000Z,3204 GIRARD AVE S,44.944444,-93.297074,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4759.0,501.6,,,,,,,,
TAG,-93.243134,44.989415,1582,2019-02-13T00:00:00.000Z,820 6TH AVE SE,44.989415,-93.243134,3,University,Marcy Holmes,4,2,Westminster,RES,4766.3,536.5,,,,,,,,
TAG,-93.283854,44.942911,1583,2019-02-13T00:00:00.000Z,316 33RD ST W,44.942911,-93.283854,8,Powderhorn,Lyndale,5,2,Westminster,RES,5007.9,504.9,,,,,,,,
TAG,-93.266477,44.951206,1584,2019-02-13T00:00:00.000Z,2824 OAKLAND AVE S,44.951206,-93.266477,6,Phillips,Phillips West,3,2,Westminster,RES,5025.9,517.9,,,,,,,,
TAG,-93.251319,44.946832,1585,2019-02-13T00:00:00.000Z,3052 16TH AVE S,44.946832,-93.251319,9,Powderhorn,Powderhorn Park,6,2,Westminster,RES,7627.1,662.1,,,,,,,,
TAG,-93.24306,44.989406,1586,2019-02-13T00:00:00.000Z,822 6TH AVE SE,44.989406,-93.24306,3,University,Marcy Holmes,4,2,Westminster,RES,4768.3,536.8,,,,,,,,
TAG,-93.276688,44.918542,1587,2019-02-13T00:00:00.000Z,4632 1ST AVE S,44.918542,-93.276688,11,Southwest,Tangletown,5,2,Westminster,RES,8070.4,758.0,,,,,,,,
TAG,-93.29556,44.961118,1588,2019-02-13T00:00:00.000Z,2124 FREMONT AVE S,44.961118,-93.29556,7,Calhoun Isle,Lowry Hill,3,2,Westminster,RES,3137.6,336.6,,,,,,,,
TAG,-93.280944,44.968969,1589,2019-02-13T00:00:00.000Z,1332 SPRUCE PLACE,44.968969,-93.280944,7,Central,Loring Park,3,2,Westminster,RES,2475.7,267.7,,,,,,,,
TAG,-93.274132,44.952522,1590,2019-02-13T00:00:00.000Z,2730 2ND AVE S,44.952522,-93.274132,10,Powderhorn,Whittier,3,2,Westminster,RES,4700.0,488.7,,,,,,,,
TAG,-93.29711,44.943852,1591,2019-02-13T00:00:00.000Z,3228 GIRARD AVE S,44.943852,-93.29711,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4824.8,509.5,,,,,,,,
TAG,-93.282736,44.942894,1592,2019-02-13T00:00:00.000Z,228 33RD ST W,44.942894,-93.282736,8,Powderhorn,Lyndale,5,2,Westminster,RES,5095.9,520.7,,,,,,,,
TAG,-93.28652,45.024188,1593,2019-02-13T00:00:00.000Z,3800 6TH ST N,45.024188,-93.28652,4,Camden,Webber - Camden,1,2,Westminster,RES,6059.4,471.4,,,,,,,,
TAG,-93.216397,44.99105,1594,2019-02-13T00:00:00.000Z,1094 26TH AVE SE,44.99105,-93.216397,1,University,Como,4,2,Westminster,RES,6862.1,746.5,,,,,,,,
TAG,-93.271562,44.923217,1595,2019-02-13T00:00:00.000Z,4410 CLINTON AVE S,44.923217,-93.271562,8,Nokomis,Regina,5,2,Westminster,RES,7949.2,745.9,,,,,,,,
TAG,-93.271522,44.922746,1596,2019-02-13T00:00:00.000Z,4416 CLINTON AVE S,44.922746,-93.271522,8,Nokomis,Regina,5,2,Westminster,RES,8001.5,750.0,,,,,,,,
TAG,-93.243368,44.98897,1597,2019-02-13T00:00:00.000Z,804 6TH AVE SE,44.98897,-93.243368,3,University,Marcy Holmes,4,2,Westminster,RES,4748.3,534.5,,,,,,,,
TAG,-93.286525,45.024281,1598,2019-02-13T00:00:00.000Z,3806 6TH ST N,45.024281,-93.286525,4,Camden,Webber - Camden,1,2,Westminster,RES,6069.7,473.2,,,,,,,,
TAG,-93.2825,44.942951,1599,2019-02-13T00:00:00.000Z,226 33RD ST W,44.942951,-93.2825,8,Powderhorn,Lyndale,5,2,Westminster,RES,5114.5,524.1,,,,,,,,
TAG,-93.295659,44.962314,1600,2019-02-13T00:00:00.000Z,2006 FREMONT AVE S,44.962314,-93.295659,7,Calhoun Isle,Lowry Hill,3,2,Westminster,RES,3004.7,320.6,,,,,,,,
TAG,-93.271113,44.96398,1601,2019-02-13T00:00:00.000Z,334 19TH ST E,44.96398,-93.271113,6,Central,Steven's Square - Loring Heights,3,2,Westminster,RES,3486.1,408.1,,,,,,,,
TAG,-93.274123,44.952772,1602,2019-02-13T00:00:00.000Z,2724 2ND AVE S,44.952772,-93.274123,10,Powderhorn,Whittier,3,2,Westminster,RES,4672.2,483.7,,,,,,,,
TAG,-93.303235,45.03016,1603,2019-02-13T00:00:00.000Z,4014 QUEEN AVE N,45.03016,-93.303235,4,Camden,Webber - Camden,1,2,Westminster,MSA,7774.6,697.8,,,,,,,,
TAG,-93.297114,44.94337,1604,2019-02-13T00:00:00.000Z,3246 GIRARD AVE S,44.94337,-93.297114,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4878.4,516.0,,,,,,,,
TAG,-93.262156,45.015017,1605,2019-02-13T00:00:00.000Z,346 26TH AVE NE,45.015017,-93.262156,1,Northeast,Holland,2,2,Westminster,RES,6084.4,597.2,,,,,,,,
TAG,-93.296855,45.023596,1606,2019-02-13T00:00:00.000Z,3748 GIRARD AVE N,45.023596,-93.296855,4,Camden,Folwell,1,2,Westminster,RES,6885.0,542.6,,,,,,,,
TAG,-93.297069,44.943506,1607,2019-02-13T00:00:00.000Z,3242 GIRARD AVE S,44.943506,-93.297069,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4863.2,514.2,,,,,,,,
TAG,-93.282354,44.94292,1608,2019-02-13T00:00:00.000Z,218 33RD ST W,44.94292,-93.282354,8,Powderhorn,Lyndale,5,2,Westminster,RES,5126.0,526.1,,,,,,,,
TAG,-93.273227,44.941397,1609,2019-02-13T00:00:00.000Z,214 34TH ST E,44.941397,-93.273227,9,Powderhorn,Central,5,2,Westminster,RES,5862.5,566.0,,,,,,,,
TAG,-93.266436,44.954539,1610,2019-02-13T00:00:00.000Z,2624 OAKLAND AVE S,44.954539,-93.266436,6,Phillips,Phillips West,3,2,Westminster,RES,4655.3,488.2,,,,,,,,
TAG,-93.243989,44.988237,1611,2019-02-13T00:00:00.000Z,712 6TH AVE SE,44.988237,-93.243989,3,University,Marcy Holmes,4,2,Westminster,RES,4783.0,539.5,,,,,,,,
TAG,-93.271566,44.920004,1612,2019-02-13T00:00:00.000Z,4552 CLINTON AVE S,44.920004,-93.271566,8,Nokomis,Regina,5,2,Westminster,RES,8372.4,764.2,,,,,,,,
TAG,-93.297127,44.943148,1613,2019-02-13T00:00:00.000Z,3252 GIRARD AVE S,44.943148,-93.297127,10,Calhoun Isle,CARAG,5,2,Westminster,RES,4903.1,518.9,,,,,,,,
TAG,-93.271349,44.920333,1614,2019-02-13T00:00:00.000Z,4544 CLINTON AVE S,44.920333,-93.271349,8,Nokomis,Regina,5,2,Westminster,RES,8409.2,767.1,,,,,,,,
TAG,-93.216477,44.989488,1615,2019-02-13T00:00:00.000Z,1048 26TH AVE SE,44.989488,-93.216477,1,University,Como,4,2,Westminster,RES,7130.2,760.7,,,,,,,,
